step,epsilon,gamma,nbeta,llc_mean
8,1e-06,1000.0,0.8207331788168325,0.00265614315867424
24,1e-06,1000.0,0.8207331788168325,0.010386882349848747
55,1e-06,1000.0,0.8207331788168325,0.009225431829690933
94,1e-06,1000.0,0.8207331788168325,0.0017733959248289466
162,1e-06,1000.0,0.8207331788168325,0.01916455663740635
473,1e-06,1000.0,0.8207331788168325,0.04127146303653717
809,1e-06,1000.0,0.8207331788168325,0.013674512505531311
1382,1e-06,1000.0,0.8207331788168325,0.029495611786842346
3088,1e-06,1000.0,0.8207331788168325,0.04995927959680557
9017,1e-06,1000.0,0.8207331788168325,0.007994698360562325
15408,1e-06,1000.0,0.8207331788168325,0.006859957240521908
26327,1e-06,1000.0,0.8207331788168325,0.0075024189427495
58801,1e-06,1000.0,0.8207331788168325,0.009355863556265831
100471,1e-06,1000.0,0.8207331788168325,0.02107522264122963
131331,1e-06,1000.0,0.8207331788168325,0.006049550604075193
224398,1e-06,1000.0,0.8207331788168325,0.04498225077986717
383418,1e-06,1000.0,259.5386196331449,21.0012264251709
500000,9.999999999999999e-05,5000.0,0.8207331788168325,1.156812071800232
